time_s,collisions
0.000,0
86.674,1
86.675,2
88.657,3
88.657,4
94.147,5
94.148,6
114.637,7
114.639,8
121.132,9
144.635,10
144.636,11
167.670,12
167.671,13
172.207,14
172.208,15
174.198,16
174.199,17
176.117,18
176.117,19
186.115,20
186.116,21
187.148,22
187.149,23
187.640,24
187.640,25
191.718,26
191.718,27
193.679,28
193.680,29
193.686,30
193.687,31
198.330,32
198.331,33
198.808,34
198.809,35
202.211,36
202.211,37
202.217,38
202.218,39
204.180,40
204.181,41
204.181,42
204.182,43
204.637,44
204.638,45
213.145,46
213.146,47
215.697,48
215.697,49
219.196,50
219.197,51
222.198,52
222.199,53
225.823,54
225.824,55
225.824,56
226.288,57
234.751,58
234.751,59
235.730,60
235.731,61
236.714,62
236.715,63
238.176,64
238.177,65
241.219,66
241.220,67
243.770,68
243.771,69
244.864,70
244.865,71
247.893,72
247.894,73
250.907,74
250.909,75
256.022,76
256.023,77
257.601,78
257.601,79
258.733,80
258.734,81
261.293,82
261.294,83
263.729,84
263.730,85
264.838,86
264.839,87
275.001,88
275.002,89
275.939,90
275.940,91
277.402,92
277.403,93
281.297,94
281.298,95
283.722,96
283.723,97
284.730,98
284.730,99
286.195,100
286.196,101
286.196,102
286.203,103
288.571,104
288.573,105
290.584,106
290.585,107
291.393,108
291.395,109
295.459,110
295.460,111
295.462,112
296.201,113
299.525,114
299.527,115
299.529,116
300.235,117
300.906,118
302.114,119
302.115,120
304.833,121
304.834,122
305.946,123
305.947,124
309.221,125
309.222,126
311.203,127
311.204,128
313.672,129
313.673,130
314.902,131
314.903,132
315.437,133
315.437,134
315.943,135
315.944,136
319.150,137
319.152,138
319.750,139
319.751,140
320.887,141
320.888,142
326.583,143
326.584,144
327.605,145
332.171,146
332.172,147
332.752,148
340.188,149
363.439,150
363.440,151
389.704,152
389.705,153
417.057,154
417.058,155
432.891,156
432.892,157
434.980,158
434.980,159
442.408,160
442.410,161
469.385,162
469.386,163
475.531,164
475.532,165
476.652,166
476.653,167
479.136,168
479.137,169
494.807,170
494.808,171
